name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Seoul,South Korea",2022-01-01,35.6,13.7,23.5,32.5,4.9,20.1,4.6,44.3,0,0,0,,0,0,14.1,5.5,15.4,1031.5,17.2,12.5,120.4,9.9,5,,2022-01-01T07:46:54,2022-01-01T17:24:04,0.94,Clear,Clear conditions throughout the day.,clear-day,"47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-02,36.6,24.1,30.1,31.1,16.5,24.7,16.9,58.9,0.117,100,4.17,"rain,snow",0,0,22.1,8.1,311.8,1026.6,52.5,10.7,116.1,10.1,5,,2022-01-02T07:47:03,2022-01-02T17:24:52,0.98,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-03,35.9,18.1,27.7,33.1,11.2,23.6,13.8,56.4,0.001,100,4.17,"rain,snow",0,0,18.3,6.5,240.1,1026.5,47.5,12.4,112.7,9.8,5,,2022-01-03T07:47:10,2022-01-03T17:25:41,0,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,rain,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-04,33.9,23,28.6,33.1,15.7,23.5,12.9,54.8,0,0,0,,0,0,19.9,8.3,287,1027.8,8.1,12.2,125.4,10.9,5,,2022-01-04T07:47:15,2022-01-04T17:26:32,0.04,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-05,35,18.1,26.5,35,10.5,23.2,8.5,46.7,0,0,0,,0,0,8.1,5.6,14.5,1028.1,71.6,12.2,72.1,6.1,3,,2022-01-05T07:47:18,2022-01-05T17:27:23,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-06,37.6,21.3,28.6,34.8,14,23.5,10.3,47.3,0,0,0,,0,0,20.6,9.2,269.6,1028.7,3.4,12,125.5,10.9,5,,2022-01-06T07:47:19,2022-01-06T17:28:16,0.11,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-01-07,40.1,21.5,29,36.3,16.8,26.6,10.3,47.4,0,0,0,,0,0,12.1,5.4,275.5,1030.1,0,11.4,125.8,10.9,5,,2022-01-07T07:47:18,2022-01-07T17:29:11,0.14,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-01-08,38.6,23,31.6,38.3,16.6,28.6,20.1,62.6,0,0,0,,0,0,23.9,6.3,299,1024.9,57.6,9.7,88.2,7.5,4,,2022-01-08T07:47:15,2022-01-08T17:30:06,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-09,41.9,30.4,35.1,39.8,26.4,32.8,26.7,72.5,0,0,0,,0,0,10.7,5.8,252.7,1022.3,43.8,2.8,115.1,9.9,5,,2022-01-09T07:47:10,2022-01-09T17:31:02,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-01-10,40.2,26.1,32.6,38.6,20.2,29.1,22.1,66.5,0,0,0,snow,0,0,13.4,6.1,302,1021.1,63.6,5.1,93.3,8,4,10,2022-01-10T07:47:02,2022-01-10T17:31:59,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
