datetime,tempmax,tempmin,temp,dew,humidity,precip,windspeed,visibility,conditions
2008-01-01,26.7,16.5,20.7,6.5,54.6,0.0,14.2,8.0,Clear
2008-01-02,32.5,14.1,24.1,10.6,57.9,0.0,9.8,7.7,Clear
2008-01-03,44.7,23.0,32.5,20.3,63.2,0.0,16.9,7.8,Partially cloudy
2008-01-04,37.8,16.3,28.5,18.8,68.8,0.0,7.9,6.0,Partially cloudy
2008-01-05,43.1,19.9,31.6,23.6,74.1,0.0,11.0,6.1,Partially cloudy
2008-01-06,46.8,29.7,37.3,32.8,84.1,0.0,8.8,2.4,Partially cloudy
2008-01-07,42.1,28.6,34.5,32.5,92.8,0.0,9.8,0.7,Partially cloudy
2008-01-08,42.0,27.0,33.1,26.3,80.2,0.0,7.6,2.2,Partially cloudy
2008-01-09,38.5,25.5,31.7,19.3,64.1,0.0,16.2,6.1,Partially cloudy
2008-01-10,38.9,19.0,29.0,12.7,55.2,0.0,8.0,7.1,Partially cloudy
2008-01-11,34.9,27.1,31.0,22.7,77.0,2.087,9.4,3.8,Snow Rain Overcast
2008-01-12,39.8,22.3,32.6,24.9,73.9,0.078,10.0,7.5,Snow Rain Partially cloudy
2008-01-13,29.4,15.0,22.4,5.9,49.5,0.0,14.3,7.4,Partially cloudy
2008-01-14,34.4,17.1,25.1,10.0,54.8,0.0,9.9,7.5,Partially cloudy
2008-01-15,30.8,15.8,23.4,4.3,45.6,0.0,10.5,7.4,Partially cloudy
2008-01-16,27.0,12.9,19.5,-0.7,42.2,0.0,15.2,7.8,Clear
2008-01-17,24.2,7.0,17.0,-2.2,44.7,0.0,10.1,7.4,Partially cloudy
2008-01-18,30.5,10.7,20.8,2.0,47.6,0.0,9.0,7.1,Partially cloudy
2008-01-19,34.1,14.3,25.2,6.0,47.0,0.0,8.7,6.8,Partially cloudy
2008-01-20,40.9,25.4,33.1,17.2,53.5,0.0,11.1,6.6,Overcast
2008-01-21,38.6,30.9,34.9,27.6,75.7,0.19,12.1,5.5,Snow Rain Overcast
2008-01-22,34.4,30.6,32.9,30.2,90.4,3.425,9.1,3.7,Snow Rain Overcast
2008-01-23,33.5,16.5,27.8,18.0,69.4,0.196,18.8,6.3,Snow Rain Partially cloudy
2008-01-24,25.2,12.6,18.3,1.0,47.6,0.0,12.0,7.6,Clear
2008-01-25,28.7,10.7,19.0,3.4,52.1,0.0,6.9,7.2,Partially cloudy
2008-01-26,34.5,14.2,24.0,9.0,55.5,0.0,9.1,6.8,Partially cloudy
2008-01-27,39.3,13.9,25.9,12.5,60.0,0.0,8.9,6.8,Clear
2008-01-28,35.7,19.8,27.7,13.9,59.2,0.0,9.5,6.5,Partially cloudy
2008-01-29,37.8,21.7,29.6,15.4,59.0,0.0,11.3,5.9,Partially cloudy
2008-01-30,32.1,20.3,27.9,13.8,57.1,0.0,18.8,7.2,Partially cloudy
2008-01-31,30.6,15.0,23.0,7.2,53.3,0.0,10.8,7.4,Clear
2008-02-01,33.9,12.1,23.3,7.6,54.4,0.0,11.1,7.3,Partially cloudy
2008-02-02,36.8,16.1,27.3,13.7,58.7,0.0,9.1,7.1,Partially cloudy
2008-02-03,35.9,21.1,28.2,19.2,70.8,0.0,12.8,5.7,Partially cloudy
2008-02-04,34.1,15.7,25.4,12.2,59.3,0.0,16.5,5.7,Clear
2008-02-05,32.3,11.0,23.6,7.8,53.7,0.0,10.3,7.1,Partially cloudy
2008-02-06,33.0,12.8,24.7,9.5,55.3,0.0,13.0,7.0,Clear
2008-02-07,32.4,10.4,22.8,8.6,56.0,0.0,10.0,7.3,Clear
2008-02-08,33.9,10.6,24.6,10.8,58.9,0.0,7.9,7.1,Partially cloudy
2008-02-09,34.0,21.6,27.7,17.1,67.2,0.0,10.3,5.9,Partially cloudy
2008-02-10,37.5,14.2,26.5,13.9,63.1,0.0,8.8,5.7,Partially cloudy
2008-02-11,39.5,17.7,29.0,15.9,61.9,0.0,15.8,6.0,Partially cloudy
2008-02-12,26.7,14.4,20.4,-5.6,32.2,0.0,15.6,6.2,Clear
2008-02-13,30.0,9.8,19.6,-3.5,38.5,0.0,12.7,6.9,Clear
2008-02-14,36.0,10.6,26.1,8.3,49.6,0.0,12.5,7.7,Clear
2008-02-15,32.4,19.9,25.8,2.9,40.9,0.0,14.8,7.7,Clear
2008-02-16,34.0,11.0,23.8,2.4,42.2,0.0,15.0,8.1,Clear
2008-02-17,35.0,14.3,25.3,3.7,42.8,0.0,13.5,7.7,Clear
2008-02-18,38.4,10.9,26.4,8.2,49.6,0.0,10.7,7.3,Partially cloudy
2008-02-19,41.4,14.2,30.1,18.9,66.0,0.0,10.6,6.0,Clear
2008-02-20,45.0,17.8,34.4,18.9,61.3,0.0,13.7,4.2,Clear
2008-02-21,48.9,21.2,36.3,16.3,48.0,0.0,12.8,6.0,Partially cloudy
2008-02-22,50.8,28.4,41.4,31.3,68.4,0.02,17.0,2.7,Rain Partially cloudy
2008-02-23,34.0,21.7,27.9,11.0,50.9,0.039,17.6,7.2,Snow
2008-02-24,38.0,14.2,26.7,4.5,42.1,0.0,11.4,8.2,Clear
2008-02-25,36.2,16.4,28.2,19.5,73.7,0.442,11.9,4.8,Snow Rain Partially cloudy
2008-02-26,33.8,27.0,29.9,23.1,77.4,0.157,13.9,4.2,Snow Rain Partially cloudy
2008-02-27,42.9,19.6,32.0,16.5,54.7,0.019,15.2,7.3,Snow Rain
2008-02-28,46.6,21.3,35.4,23.3,63.5,0.019,13.1,7.0,Snow Rain Partially cloudy
2008-02-29,48.8,30.0,39.4,29.9,70.0,0.0,15.9,4.5,Partially cloudy
2008-03-01,44.9,28.6,36.5,19.0,51.9,0.0,11.8,7.4,Clear
2008-03-02,41.7,26.9,35.2,26.8,72.7,0.012,7.9,5.8,Rain Partially cloudy
2008-03-03,46.5,26.9,36.2,25.9,69.8,0.011,16.0,4.5,Rain Partially cloudy
2008-03-04,42.8,26.8,34.7,25.2,69.1,0.164,10.4,6.4,Snow Rain Partially cloudy
2008-03-05,46.5,21.7,35.0,21.4,61.7,0.157,13.0,5.7,Rain
2008-03-06,46.6,29.8,38.5,29.0,69.9,0.0,16.2,5.2,Partially cloudy
2008-03-07,48.2,26.5,38.0,21.3,56.3,0.0,11.7,6.0,Clear
2008-03-08,50.7,24.9,38.5,25.6,65.8,0.0,10.2,5.6,Clear
2008-03-09,52.4,31.6,40.3,31.6,74.7,0.0,12.6,4.2,Partially cloudy
2008-03-10,51.0,35.2,42.4,35.2,76.9,0.0,10.9,3.5,Partially cloudy
2008-03-11,61.2,41.2,49.7,38.6,67.9,0.0,8.3,2.3,Partially cloudy
2008-03-12,64.7,35.8,50.2,38.1,66.6,0.0,13.1,1.8,Clear
2008-03-13,54.1,42.9,48.3,40.8,76.5,0.021,11.2,2.0,Rain Partially cloudy
2008-03-14,56.0,32.8,44.8,35.3,72.8,0.02,10.3,5.8,Rain Partially cloudy
2008-03-15,56.0,31.9,44.9,31.6,64.0,0.0,15.9,6.2,Partially cloudy
2008-03-16,53.9,34.6,44.1,30.4,64.7,0.0,14.9,4.4,Partially cloudy
2008-03-17,58.4,28.5,43.7,27.8,59.9,0.0,7.4,4.8,Clear
2008-03-18,64.8,32.1,50.0,29.6,51.9,0.0,9.0,5.2,Partially cloudy
2008-03-19,64.9,39.7,51.6,32.1,50.3,0.0,15.1,6.2,Partially cloudy
2008-03-20,64.5,32.1,49.3,17.1,31.9,0.0,10.5,7.7,Clear
2008-03-21,66.4,33.8,51.1,25.3,44.0,0.0,11.4,7.5,Partially cloudy
2008-03-22,61.0,39.2,51.2,29.8,51.2,0.172,9.5,6.0,Rain Partially cloudy
2008-03-23,48.9,39.9,45.8,45.0,97.2,1.638,14.3,2.4,Rain Overcast
2008-03-24,53.0,36.5,43.9,37.5,79.8,0.238,18.2,4.7,Rain Partially cloudy
2008-03-25,43.5,35.6,40.1,33.0,76.0,0.02,12.8,6.6,Rain Partially cloudy
2008-03-26,50.5,32.3,43.1,33.6,71.2,0.019,17.0,6.1,Rain Partially cloudy
2008-03-27,50.3,39.4,44.8,34.8,69.3,0.0,13.3,5.6,Partially cloudy
2008-03-28,54.2,31.8,43.3,31.3,65.2,0.0,10.0,5.9,Partially cloudy
2008-03-29,46.4,40.0,43.1,39.6,88.4,0.514,8.8,2.9,Rain Overcast
2008-03-30,50.2,41.1,44.8,39.7,83.3,0.023,13.0,3.5,Rain Overcast
2008-03-31,54.9,38.1,45.8,35.5,69.3,0.0,11.9,4.4,Partially cloudy
2008-04-01,57.3,35.6,46.9,33.9,63.0,0.0,18.2,5.9,Partially cloudy
2008-04-02,50.8,41.3,45.9,38.9,76.8,0.12,17.1,4.2,Rain Partially cloudy
2008-04-03,57.6,35.7,46.9,29.2,57.1,0.04,18.7,5.5,Rain
2008-04-04,61.6,33.8,48.2,31.1,56.9,0.0,15.9,5.6,Clear
2008-04-05,64.8,41.2,53.0,39.6,63.6,0.0,10.6,3.9,Clear
2008-04-06,73.5,40.9,56.4,35.8,53.3,0.065,17.0,4.4,Rain Partially cloudy
2008-04-07,65.8,48.2,54.4,46.4,76.7,0.084,13.2,3.9,Rain Partially cloudy
2008-04-08,73.6,42.4,57.6,41.3,61.6,0.0,10.2,4.3,Partially cloudy
2008-04-09,62.4,48.6,56.9,35.1,49.7,0.211,16.1,6.8,Rain Overcast
2008-04-10,71.4,48.3,58.8,41.1,57.1,0.536,14.7,6.4,Rain Partially cloudy
2008-04-11,64.8,44.3,55.2,41.6,63.0,0.0,11.3,4.4,Partially cloudy
2008-04-12,66.3,43.9,55.6,43.0,65.6,0.0,12.8,5.1,Partially cloudy
2008-04-13,62.4,44.7,55.0,44.1,67.5,0.02,11.3,4.4,Rain Partially cloudy
2008-04-14,67.3,39.1,53.6,37.8,59.4,0.0,13.4,4.1,Clear
2008-04-15,70.1,42.5,56.7,39.6,55.8,0.0,11.3,3.9,Partially cloudy
2008-04-16,77.1,46.3,61.1,42.7,55.7,0.0,12.3,4.0,Partially cloudy
2008-04-17,76.7,49.9,64.3,42.9,49.0,0.0,15.1,6.1,Partially cloudy
2008-04-18,76.5,49.7,62.7,45.4,56.8,0.0,14.5,7.7,Clear
2008-04-19,82.1,47.9,64.4,43.6,54.0,0.0,13.9,5.5,Clear
2008-04-20,78.5,49.6,65.9,39.4,43.0,0.0,10.9,6.9,Partially cloudy
2008-04-21,74.9,60.7,67.2,33.8,30.4,0.0,15.1,7.7,Partially cloudy
2008-04-22,66.3,54.2,61.3,43.0,55.0,0.359,8.9,6.1,Rain Overcast
2008-04-23,55.6,46.5,51.9,46.1,81.7,0.423,18.6,4.0,Rain Overcast
2008-04-24,57.4,39.5,48.9,28.9,48.2,0.0,14.6,6.0,Clear
2008-04-25,66.6,43.9,54.6,39.5,59.6,0.117,24.4,4.9,Rain Partially cloudy
2008-04-26,56.8,45.3,50.8,43.7,76.6,0.406,16.1,5.0,Rain Partially cloudy
2008-04-27,59.0,42.1,50.0,39.5,69.9,0.0,14.5,3.9,Partially cloudy
2008-04-28,67.9,36.1,53.9,35.9,57.7,0.0,10.5,4.5,Clear
2008-04-29,70.2,44.5,58.3,48.6,71.6,0.0,10.2,3.9,Partially cloudy
2008-04-30,73.9,55.1,63.9,54.1,72.8,0.0,14.5,4.0,Partially cloudy
2008-05-01,75.9,59.5,67.1,56.9,71.6,0.0,12.9,6.0,Partially cloudy
2008-05-02,79.0,57.2,67.2,57.0,73.3,0.0,9.7,4.7,Clear
2008-05-03,80.7,55.4,68.0,56.3,69.8,0.0,10.2,5.7,Partially cloudy
2008-05-04,71.4,57.9,64.2,55.6,76.9,0.021,9.9,5.2,Rain Partially cloudy
2008-05-05,69.9,52.1,61.1,43.8,56.7,0.433,17.4,7.4,Rain Partially cloudy
2008-05-06,73.8,46.3,61.0,32.7,42.9,0.0,17.0,7.2,Clear
